x,FluxvsI
0.09028,0.319
0.17145,0.5097
0.25262,0.7277
0.32952,0.9321
0.41496,1.1365
0.49613,1.3409
0.58158,1.5453
0.66702,1.7361
0.75246,1.9269
0.84218,2.1313
0.92763,2.322
1.01734,2.4992
1.10706,2.69
1.19678,2.8671
1.2865,3.0306
1.37621,3.2078
1.47021,3.3713
1.5642,3.5348
1.65819,3.6983
1.75218,3.8619
1.84617,3.9981
1.94016,4.148
2.03843,4.2979
2.13242,4.4478
2.23069,4.5841
2.32895,4.7204
2.42294,4.843
2.52121,4.9656
2.61948,5.1019
2.71774,5.2109
2.81601,5.3336
2.91855,5.4562
3.01681,5.5652
3.11508,5.6743
3.21335,5.7833
3.31161,5.8787
3.40988,5.9741
3.50388,6.0831
3.60214,6.1785
3.70041,6.2739
3.79868,6.3693
3.89695,6.451
3.99521,6.5464
